claim_id,value_as_cited,source_file,source_location,transformation,code_reference
real_review_count,10547,data/manifest.json,files[0].record_count,count of rows in data/raw/consumer_reviews.csv after real-data extraction,src/real/build_reviews_csv.py:main
real_product_count,237,data/manifest.json,files[0].distinct_real_products,distinct parent_asin in data/real_raw/purifier_products_frozen.jsonl,src/real/reclassify_purifiers.py + build_reviews_csv.py
corpus_date_range,2004-01-11 to 2023-08-31,data/raw/consumer_reviews.csv,min/max review_date column,min/max of derived review_date (from source epoch-ms timestamp),src/real/build_reviews_csv.py:main
real_sentiment_conflicts,239,data/processed/defect_detection_report_real.json,defects_found.sentiment_rating_conflict.count,"rating==5 & negation-aware sentiment<=-0.5, or rating==1 & sentiment>=+0.5",src/real/detect_defects_real.py:detect_sentiment_conflicts
real_empty_text_rows,18,data/processed/defect_detection_report_real.json,defects_found.empty_or_trivial_text.count,len(review_text.strip()) < 3,src/real/detect_defects_real.py:detect_empty_or_trivial_text
real_duplicate_text_rows,0,data/processed/defect_detection_report_real.json,defects_found.duplicate_review_text.count,exact review_text repeated >=3x on same product_sku,src/real/detect_defects_real.py:detect_duplicate_text
real_volume_anomalies,0,data/processed/defect_detection_report_real.json,defects_found.product_daily_volume_anomalies.count,"per-product daily count, robust z-score (MAD) >= 5",src/real/detect_defects_real.py:detect_volume_anomalies
reliability_prevalence_pct,1.58%,data/processed/taxonomy_themes_real.json,themes.reliability.prevalence_pct,polarity-gated keyword match / all real reviews,src/real/taxonomy_real.py:main
reliability_csat_impact,-2.223,data/processed/taxonomy_themes_real.json,themes.reliability.csat_impact,"mean(rating|reliability theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
noise_prevalence_pct,3.5%,data/processed/taxonomy_themes_real.json,themes.noise.prevalence_pct,polarity-gated keyword match / all real reviews,src/real/taxonomy_real.py:main
noise_csat_impact,-0.571,data/processed/taxonomy_themes_real.json,themes.noise.csat_impact,"mean(rating|noise theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
value_effectiveness_csat_impact,-2.724,data/processed/taxonomy_themes_real.json,themes.value_effectiveness.csat_impact,"mean(rating|theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
customer_service_csat_impact,-2.429,data/processed/taxonomy_themes_real.json,themes.customer_service.csat_impact,"mean(rating|theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
corpus_mean_rating_real,4.172,data/processed/taxonomy_themes_real.json,corpus_mean_rating_trusted,mean(rating) over rating_trusted==true real reviews,src/real/taxonomy_real.py:main
unassigned_theme_pct,92.74%,data/processed/taxonomy_themes_real.json,unassigned_pct,reviews matching none of the 6 real themes / all reviews,src/real/taxonomy_real.py:main
wtp_direct_available,NOT AVAILABLE,data/processed/wtp_real.json,direct_wtp_available,"stated finding, not a computed figure",src/real/wtp_real.py:main
real_priced_products,75/237,data/processed/wtp_real.json,real_price_coverage,count of real products with a non-null price field,src/real/wtp_real.py:load_prices
reliability_price_exposure_usd,"$26,357.86",data/processed/wtp_real.json,per_theme.reliability.price_weighted_exposure_usd,sum(real observed price) over reliability-theme reviews with a known real price,src/real/wtp_real.py:main
noise_price_exposure_usd,"$84,015.62",data/processed/wtp_real.json,per_theme.noise.price_weighted_exposure_usd,sum(real observed price) over noise-theme reviews with a known real price,src/real/wtp_real.py:main
os3_smart_prevalence_pct,1.016%,data/processed/decision_framework_real.json,scores.OS-3.friction_prevalence_pct,keyword search (wifi/bluetooth/smart home/app/alexa/voice) / all real reviews,src/real/decision_framework_real.py:keyword_prevalence
mordor_cagr,5.37% CAGR (2025-2030),data/raw/market_metrics.json,sources[0].metric.value (mordor_2026_europe_air_purifier),"none - real vendor figure, page-verified",data/real_raw/market_sources/mordor_europe_air_purifier_market.html (archived)
imarc_cagr,6.54% CAGR (2026-2034),data/raw/market_metrics.json,sources[1].metric.value (imarc_2026_europe_air_purifier),"none - real vendor figure, page-verified",data/real_raw/market_sources/imarc_europe_air_purifier_market.html (archived)
cagr_spread_pp,1.17 pp,data/raw/market_metrics.json,conflict_summary.spread_pp,6.54 - 5.37,src/real/build_market_metrics.py
q6_recommendation,Reliability-Verified Air Purifiers (extended-life guarantee + real-time self-diagnostic),data/processed/decision_framework_real.json,verdict.recommended_name,explicit analyst judgment over Pareto-nondominated real scores (see verdict.why),src/real/decision_framework_real.py:main
q5_scenario_invariance,verdict identical under mordor (5.37%) and imarc (6.54%) market scenarios,data/processed/decision_framework_real.json,verdict.market_scenario,"re-ran src/real/decision_framework_real.py with --market-scenario=imarc, diffed output",src/real/decision_framework_real.py:main (run twice)
reliability_prevalence_pct_full,1.58%,data/processed/taxonomy_themes_real.json,themes.reliability.prevalence_pct,polarity-gated keyword match / all real reviews,src/real/taxonomy_real.py:main
reliability_csat_full,-2.223,data/processed/taxonomy_themes_real.json,themes.reliability.csat_impact,"mean(rating|theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
value_effectiveness_prevalence_pct_full,0.77%,data/processed/taxonomy_themes_real.json,themes.value_effectiveness.prevalence_pct,polarity-gated keyword match / all real reviews,src/real/taxonomy_real.py:main
value_effectiveness_csat_full,-2.724,data/processed/taxonomy_themes_real.json,themes.value_effectiveness.csat_impact,"mean(rating|theme, rating_trusted) - corpus mean",src/real/taxonomy_real.py:main
